avg_vol_3month,c_level,company_name,e_score,ebitda,employees,enterprise_value,fifty_day_moving_avg,forward_pe,g_score,held_by_insiders,held_by_institutions,hq,industry,market_cap,peg_ratio,profit_margin,return_on_assets,return_on_equity,revenue,s_score,sector,ticker_name,tot_cash,tot_debt,tot_esg_score,trailing_pe,twohundred_day_moving_avg
78.32k,,"Spok Holdings, Inc.",,-3.15M,620,128.55M,9.51, ,,2.52%,85.00%,6850 Versar Center Suite 420,Telecom Services,184.53M, ,-10.30%,-2.34%,-6.25%,155.79M,,Communication Services,SPOK,72.19M,16.21M,, ,10.36
884.43k,,"Sportsman's Warehouse Holdings, Inc.",,60.98M,"2,350",1.08B,14.09,19.12,,3.93%,107.60%,1475 West 9000 South Suite A,Leisure,702.23M, ,2.56%,4.11%,25.60%,959.22M,,Consumer Cyclical,SPWH,22.09M,403.86M,,28.86,8.74
98.92k,,"Spring Bank Pharmaceuticals, Inc.",,-32.46M,30,5.38M,1.5971, ,,13.97%,32.18%,35 Parkwood Drive Suite 210,Biotechnology,30.60M, ,0.00%,-34.23%,-67.85%,N/A,,Healthcare,SBPH,47.51M,22.29M,, ,1.3935
496.7k,,"Sprout Social, Inc.",,-48.56M,623,1.39B,27.72, ,,18.08%,82.03%,131 South Dearborn Street Suite 700,Software—Application,1.50B, ,-47.44%,-24.54%,-67.82%,109.86M,,Technology,SPT,137.38M,25.41M,, ,21.13
2.57M,,"Sprouts Farmers Market, Inc.",,393.43M,"30,000",4.59B,24.79,17.92,,0.50%,96.22%,5455 East High Street Suite 111,Grocery Stores,3.18B,1.49,3.15%,6.15%,30.16%,5.87B,,Consumer Defensive,SFM,247.1M,1.66B,,17.22,20.61
314.34k,,"SPS Commerce, Inc.",,59.53M,"1,363",2.37B,73.26,53.76,,0.50%,98.98%,333 South Seventh Street Suite 1000,Software—Infrastructure,2.56B,3.59,12.71%,6.28%,10.62%,286.38M,,Technology,SPSC,214.56M,22.82M,,72.50,59.00
69.47k,,"SRAX, Inc.",,-17.21M,35,39.19M,2.3443, ,,7.97%,5.46%,"456 Seaton Street Los Angeles, CA 90013",Advertising Agencies,35.93M, ,0.00%,-55.32%,-153.38%,3.34M,,Communication Services,SRAX,110k,3.45M,,115.00,2.2024
1.53M,1,"SS&C Technologies Holdings, Inc.",1,1.71B,"22,800",21.79B,56.97,14.51,8,12.63%,82.00%,"80 Lamberton Road Windsor, CT 06095",Software—Application,14.52B,2.17,9.78%,3.78%,9.30%,4.67B,15,Technology,SSNC,373.7M,7.64B,24,32.90,55.47
79.52k,,Stable Road Acquisition Corp.,,N/A,,219.43M,9.92, ,,0.00%,38.44%,"1345 Abbot Kinney Boulevard Venice, CA 90291",Shell Companies,220.41M, ,0.00%,N/A,N/A,N/A,,Financial Services,SRAC,984.92k,N/A,, ,9.84
12.51k,,Stable Road Acquisition Corp.,,N/A,, ,10.09, ,,9.54%,88.86%,"1345 Abbot Kinney Boulevard Venice, CA 90291",Shell Companies,, ,0.00%,N/A,N/A,N/A,,Financial Services,SRACU,984.92k,N/A,, ,10.11
16.96k,,Standard AVB Financial Corp.,,N/A,146, ,22.75, ,,14.69%,26.78%,"2640 Monroeville Boulevard Monroeville, PA 15146",Banks—Regional,99.30M, ,24.67%,0.78%,5.52%,31.4M,,Financial Services,STND,52.48M,116.56M,,12.68,24.79
650.68k,,Star Bulk Carriers Corp.,,190.01M,181,2.07B,6.62,8.51,,19.32%,65.07%,40 Agiou Konstantinou Street Marousi 15124,Marine Shipping,608.59M, ,-0.99%,1.24%,-0.53%,815.74M,,Industrials,SBLK,130.28M,1.59B,,18.31,6.84
10.43M,3,Starbucks Corporation,3.2,5.13B,"346,000",108.63B,75.36,27.55,4.8,0.23%,70.28%,"2401 Utah Avenue South Seattle, WA 98134",Restaurants,88.34B,2.70,12.71%,10.13%,N/A,26.66B,13.1,Consumer Cyclical,SBUX,2.63B,22.99B,21,27.00,77.27
138.4k,,Stealth BioTherapeutics Corp,,-42.1M,73,81.52M,1.9103, ,,0.00%,14.03%,190 Elgin Avenue George Town KY1-9005,Biotechnology,98.13M, ,-209.09%,-50.44%,-242.59%,21.09M,,Healthcare,MITO,31.24M,14.63M,, ,1.9694
472.33k,,"Steel Connect, Inc.",,44.35M,"3,760",444.49M,0.6050, ,,12.19%,51.12%,1601 Trapelo Road Suite 170,Integrated Freight & Logistics,34.93M, ,-5.22%,-0.54%,-41.47%,822.43M,,Industrials,STCN,90.19M,464.57M,, ,0.9182
2M,2,"Steel Dynamics, Inc.",13.6,1.16B,"8,385",6.94B,26.71,13.14,6.7,5.07%,88.35%,"7575 West Jefferson Boulevard Fort Wayne, IN 46804",Steel,5.80B,41.82,5.61%,6.45%,13.33%,9.55B,14.2,Basic Materials,STLD,1.57B,2.78B,34,11.02,25.99
3.19M,,"Stein Mart, Inc.",,-39.9M,"5,000",605.66M,0.4018, ,,48.28%,7.33%,"1200 Riverplace Boulevard Jacksonville, FL 32207",Apparel Retail,17.44M, ,-7.59%,-5.29%,"-1,370.54%",1.06B,,Consumer Cyclical,SMRT,2.21M,594.72M,, ,0.5091
532.08k,2,"Stericycle, Inc.",15.4,535.4M,"19,500",8.64B,57.32,34.72,3.6,0.28%,116.78%,"2355 Waukegan Road Bannockburn, IL 60015",Waste Management,5.65B,2.65,-10.08%,2.58%,-13.54%,3.26B,7.1,Industrials,SRCL,36M,3.02B,26, ,55.46
94.44k,,"Sterling Bancorp, Inc. (Southfield, MI)",,N/A,, ,3.4269, ,,62.90%,28.53%,One Towne Square Suite 1900,Banks—Regional,166.17M, ,42.96%,1.77%,16.38%,132.56M,,Financial Services,SBT,78.84M,314.05M,,2.98,4.6080
220.16k,,"Sterling Construction Company, Inc.",,76.64M,"3,000",681.18M,10.10,12.20,,2.43%,85.36%,1800 Hughes Landing Boulevard Suite 250,Engineering & Construction,281.17M, ,3.44%,4.51%,21.83%,1.2B,,Industrials,STRL,73.91M,483.44M,,6.66,10.72
865.98k,,"Steven Madden, Ltd.",,175.11M,"2,500",1.85B,23.47,18.87,,9.54%,94.05%,"52-16 Barnett Avenue Long Island City, NY 11104",Footwear & Accessories,1.91B, ,5.16%,8.19%,11.05%,1.73B,,Consumer Cyclical,SHOO,245.41M,187.8M,,21.70,27.80
3.02M,,"Stitch Fix, Inc.",,-15.24M,"8,000",2.42B,25.43, ,,4.23%,88.29%,1 Montgomery Street Suite 1500,Specialty Retail,2.49B, ,-0.91%,-3.24%,-3.88%,1.7B,,Consumer Cyclical,SFIX,241.58M,165.63M,,82.13,21.34
13.87k,,StoneCastle Financial Corp.,,N/A,, ,16.91,14.39,,0.18%,23.15%,152 West 57th Street 35TH Floor,Asset Management,106.46M, ,-46.04%,4.43%,-5.46%,15.8M,,Financial Services,BANX,62.84k,9M,,8.45,17.93
90.51k,,INTL FCStone Inc.,,N/A,"2,151",1.05B,54.88, ,,16.71%,77.61%,155 East 44th Street Suite 900,Capital Markets,1.08B, ,0.20%,0.98%,16.51%,50.62B,,Financial Services,SNEX,6.55B,4.52B,,11.04,45.81
84.74k,,"STRATA Skin Sciences, Inc.",,1.62M,115,44.17M,1.2185,250.00,,3.73%,67.38%,5 Walnut Grove Drive Suite 140,Medical Devices,43.71M, ,-11.32%,-3.62%,-11.98%,30.83M,,Healthcare,SSKN,8.15M,8.61M,,0.73,1.3736
1.03M,,Stratasys Ltd.,,23.06M,"2,300",552.99M,16.08,32.79,,6.64%,81.48%,"7665 Commerce Way Eden Prairie, MN 55344",Computer Hardware,858.15M,2.14,-4.93%,-1.26%,-2.67%,613.69M,,Technology,SSYS,325.48M,20.31M,,236.72,17.23
206.29k,,"Strategic Education, Inc.",,245.59M,"3,076",3.36B,158.75,22.99,,1.85%,99.61%,"2303 Dulles Station Boulevard Herndon, VA 20171",Education & Training Services,3.73B,1.32,10.32%,5.17%,7.28%,1.02B,,Consumer Defensive,STRA,469.69M,103.57M,,35.31,154.93
23.93k,,Strattec Security Corporation,,26.27M,"4,209",96.44M,20.09,16.29,,4.95%,79.28%,"3333 West Good Hope Road Milwaukee, WI 53209",Auto Parts,79.62M,1.09,0.60%,1.50%,4.24%,471.89M,,Consumer Cyclical,STRT,10.17M,30.84M,,27.43,18.32
9.94k,,Stratus Properties Inc.,,5.36M,50,513.84M,18.24, ,,15.55%,56.44%,212 Lavaca Street Suite 300,Real Estate—Diversified,151.89M, ,-11.44%,-0.76%,-4.22%,38.44M,,Real Estate,STRS,23.88M,385.83M,, ,21.38
96.05k,,"Streamline Health Solutions, Inc.",,46k,78,35.95M,1.2082, ,,19.44%,45.86%,11800 Amber Park Drive Suite 125,Health Information Services,39.68M, ,2.43%,-1.30%,-18.07%,20.42M,,Healthcare,STRM,6.56M,2.83M,,14.11,1.0823
353.26k,,Strongbridge Biopharma plc,,-55.26M,71,123.06M,3.7101, ,,10.91%,68.15%,900 Northbrook Drive Suite 200,Biotechnology,185.53M, ,-181.82%,-29.64%,-55.28%,24.04M,,Healthcare,SBBP,62.85M,1.36M,,2.71,2.9276
29.12k,,"Summer Infant, Inc.",,5.75M,156,67.90M,8.31, ,,22.29%,44.38%,"1275 Park East Drive Woonsocket, RI 02895",Household & Personal Products,22.24M, ,-2.33%,1.39%,-64.17%,170.98M,,Consumer Defensive,SUMR,693k,48.3M,, ,4.73
117.93k,,Summit Therapeutics plc,,N/A,70,173.20M,3.3635, ,,23.29%,8.53%,136a Eastern Avenue Milton Park Oxfordshire,Biotechnology,233.97M, ,-142.60%,N/A,N/A,N/A,,Healthcare,SMMT,N/A,N/A,,1.55,2.7204
1.26M,,"Summit Wireless Technologies, Inc.",,-11.95M,38,18.08M,2.3135, ,,43.27%,22.89%,6840 Via Del Oro Suite 280,Semiconductors,17.61M, ,0.00%,-201.20%,"-2,332.63%",1.61M,,Technology,WISA,755k,688k,,0.23,4.8775
1.57M,,Sundance Energy Inc.,,209.19M,79,383.76M,2.9297,526.32,,0.29%,28.17%,1050 17th Street Suite 700,Oil & Gas E&P,16.85M, ,32.54%,8.55%,14.91%,177.82M,,Energy,SNDE,1.21M,376.9M,,0.29,5.3354
2.43M,,Sundial Growers Inc.,,N/A,420,198.57M,0.8646, ,,35.25%,14.16%,919-11 Avenue SW Suite 200,Drug Manufacturers—Specialty & Generic,75.03M, ,0.00%,-13.45%,-317.41%,N/A,,Healthcare,SNDL,N/A,N/A,, ,1.0955
5.31M,,"Sunesis Pharmaceuticals, Inc.",,N/A,24,32.05M,0.3729, ,,0.18%,62.41%,395 Oyster Point Boulevard Suite 400,Biotechnology,37.55M, ,0.00%,-49.37%,-118.68%,2.19M,,Healthcare,SNSS,23.42M,6.15M,, ,0.5014
769.54k,,SunOpta Inc.,,50.29M,"1,900",1.23B,4.82, ,,3.19%,76.11%,2233 Argentia Drive Suite 401,Packaged Foods,610.91M, ,-1.89%,1.08%,-10.07%,1.22B,,Consumer Defensive,STKL,2.67M,535.2M,, ,3.27
3.67M,,SunPower Corporation,,-54.15M,"8,400",2.53B,8.44,57.47,,52.69%,46.06%,"51 Rio Robles San Jose, CA 95134",Solar,1.72B, ,5.62%,-3.68%,N/A,1.97B,,Technology,SPWR,205.45M,1.02B,,13.14,7.73
3.09M,,Sunrun Inc.,,-45.12M,"4,800",7.72B,25.72,78.12,,5.37%,96.32%,225 Bush Street Suite 1400,Solar,5.20B,7.26,1.40%,-2.75%,-27.09%,874.8M,,Technology,RUN,286.42M,3B,,424.60,17.91
3.47M,,"Sunworks, Inc.",,-6.15M,178,20.54M,0.7660,3.40,,1.72%,3.64%,1030 Winding Creek Road Suite 100,Solar,22.45M,0.34,-18.12%,-14.76%,-150.84%,62.92M,,Technology,SUNW,5.47M,3.56M,, ,0.6599
1.73M,,SuperCom Ltd.,,-5.67M,165,33.69M,1.7012,7.20,,28.14%,3.33%,20 Lincoln Street Tel Aviv 6713412,Security & Protection Services,21.66M, ,-80.09%,-10.11%,-59.74%,19.45M,,Industrials,SPCB,1.49M,15.18M,, ,1.0235
5.26M,,Superconductor Technologies Inc.,,-7.34M,26,9.89M,0.4406, ,,0.02%,5.31%,9101 Wall Street Suite 1300,Semiconductor Equipment & Materials,11.73M, ,0.00%,-119.79%,-254.44%,729k,,Technology,SCON,1.84M,N/A,, ,0.2878
38.25k,,"Superior Group of Companies, Inc.",,29.62M,"3,400",314.19M,12.77,18.87,,39.56%,39.57%,"10055 Seminole Boulevard Seminole, FL 33772",Apparel Manufacturing,216.70M,0.49,3.40%,3.94%,8.42%,384.39M,,Consumer Cyclical,SGC,5.77M,103.26M,,16.65,10.84
2.28M,,"Surface Oncology, Inc.",,-26.87M,49,105.11M,5.34, ,,16.76%,62.75%,50 Hampshire Street 8th Floor,Biotechnology,154.92M, ,-70.90%,-11.88%,-30.80%,39.52M,,Healthcare,SURF,90.08M,40.27M,, ,3.48
486.2k,,"RTI Surgical Holdings, Inc.",,13.68M,935,418.06M,3.1900,526.32,,11.17%,79.57%,520 Lake Cook Road Suite 315,Medical Devices,246.18M, ,-70.54%,-0.88%,-113.98%,312.09M,,Healthcare,SRGA,6.56M,178.43M,, ,3.4825
743.55k,,"Surgery Partners, Inc.",,321.1M,"6,900",3.58B,12.74, ,,5.38%,96.13%,310 Seven Springs Way Suite 500,Medical Care Facilities,770.56M, ,-4.43%,3.03%,1.95%,1.86B,,Healthcare,SGRY,194.6M,3.08B,, ,12.56
69.7k,,"Surmodics, Inc.",,13.15M,369,563.93M,42.96,909.09,,3.34%,92.81%,"9924 West 74th Street Eden Prairie, MN 55344",Diagnostics & Research,611.97M,89.94,6.59%,2.37%,5.52%,100.6M,,Healthcare,SRDX,48.4M,3.36M,,93.69,37.71
164.68k,,"Sutro Biopharma, Inc.",,-55.98M,177,207.27M,8.74, ,,21.16%,69.52%,310 Utah Avenue Suite 150,Biotechnology,298.51M, ,-148.06%,-21.30%,-57.41%,41.26M,,Healthcare,STRO,115.39M,24.16M,, ,9.80
1.16M,,SVMK Inc.,,-46.94M,"1,220",3.36B,22.79, ,,15.13%,78.24%,"One Curiosity Way San Mateo, CA 94403",Software—Application,3.20B, ,-24.56%,-5.92%,-29.62%,327.04M,,Technology,SVMK,144.62M,301.42M,, ,18.38
25.77k,,SWK Holdings Corporation,,N/A,32,158.97M,12.85, ,,1.37%,71.41%,14755 Preston Road Suite 105,Asset Management,169.91M, ,47.19%,5.18%,5.59%,26.72M,,Financial Services,SWKH,26.07M,14.42M,,13.43,12.66
241.25k,,"Sykes Enterprises, Incorporated",,164.73M,"54,900",1.28B,27.03,15.06,,7.48%,94.07%,400 North Ashley Drive Suite 2800,Information Technology Services,1.11B,1.88,4.09%,4.40%,7.87%,1.62B,,Technology,SYKE,118.42M,287.49M,,17.25,29.04
96.16k,,"Synacor, Inc.",,4.58M,320,44.67M,1.1656, ,,13.09%,45.08%,40 La Riviere Drive Suite 300,Software—Infrastructure,46.55M, ,-10.22%,-4.15%,-25.54%,110.6M,,Technology,SYNC,8.92M,7.04M,, ,1.2363
49.37k,,Synalloy Corporation,,8.76M,606,181.61M,7.88, ,,15.69%,59.71%,4510 Cox Road Suite 201,Steel,65.67M, ,-1.11%,-0.51%,-3.11%,295.06M,,Basic Materials,SYNL,3.42M,115.96M,,31.90,9.92
646.14k,,"Synchronoss Technologies, Inc.",,-36.69M,"1,659",411.14M,3.4321, ,,21.80%,57.06%,200 Crossing Boulevard 8th Floor,Software—Application,163.47M, ,-29.52%,-9.85%,-26.97%,297.77M,,Technology,SNCR,30.91M,77.72M,, ,3.8509
954.6k,,"Syndax Pharmaceuticals, Inc.",,-57.73M,35,424.38M,15.06, ,,8.08%,56.57%,35 Gatehouse Drive Building D Floor 3,Biotechnology,502.80M, ,0.00%,-35.34%,-93.31%,1.52M,,Healthcare,SNDX,101.35M,20.58M,, ,12.70
725.03k,,"Syneos Health, Inc.",,585.91M,"24,000",9.39B,57.32,20.70,,0.43%,107.31%,"1030 Sync Street Morrisville, NC 27560",Diagnostics & Research,6.51B,2.38,4.13%,2.91%,6.70%,4.72B,,Healthcare,SYNH,335.57M,3.25B,,33.61,56.37
324.84k,,"Synlogic, Inc.",,-54.42M,76,-20.41M,2.1184, ,,21.44%,51.70%,301 Binney Street Suite 402,Biotechnology,69.29M, ,0.00%,-22.58%,-42.67%,1.99M,,Healthcare,SYBX,114.25M,24.55M,, ,2.2178
965.34k,0,"Synopsys, Inc.",1.2,691.84M,"13,896",30.17B,192.97,33.67,5.6,0.73%,91.04%,"690 East Middlefield Road Mountain View, CA 94043",Software—Infrastructure,30.26B,2.70,13.96%,5.01%,11.58%,3.4B,12.7,Technology,SNPS,856.42M,770.34M,19,65.36,159.48
47.77k,,"Sypris Solutions, Inc.",,709k,630,26.94M,0.7594, ,,48.34%,8.86%,One Oxmoor Place Suite 450 101 Bullitt Lane,Auto Parts,15.26M, ,-1.34%,-1.92%,-9.85%,90.75M,,Consumer Cyclical,SYPR,5.21M,16.89M,, ,0.7791
319.9k,,"Tabula Rasa HealthCare, Inc.",,2.24M,"1,286",1.53B,56.92,69.44,,9.10%,116.14%,228 Strawbridge Drive Suite 100,Health Information Services,1.31B, ,-12.10%,-3.79%,-19.80%,296.58M,,Healthcare,TRHC,38.13M,255.94M,, ,56.06
15.73k,,Taitron Components Incorporated,,793k,18,8.58M,2.5497, ,,38.63%,13.81%,"28040 West Harrison Parkway Valencia, CA 91355",Electronics & Computer Distribution,14.15M, ,9.85%,2.79%,5.57%,6.87M,,Technology,TAIT,5.56M,N/A,,20.33,2.5388
2.11M,,"Take-Two Interactive Software, Inc.",,493.97M,"5,800",15.73B,144.34,42.73,,1.20%,94.24%,"110 West 44th Street New York, NY 10036",Electronic Gaming & Multimedia,17.55B,5.32,13.09%,5.78%,17.66%,3.09B,,Communication Services,TTWO,2B,177.25M,,43.52,127.73
248.27k,,Talend S.A.,,-49.37M,"1,238",1.15B,35.30, ,,3.12%,92.64%,"9, rue Pages Suresnes 92150",Software—Infrastructure,1.17B, ,-23.95%,-12.10%,-248.38%,258.31M,,Technology,TLND,177.81M,157.02M,, ,31.89
1.27M,,"Tandem Diabetes Care, Inc.",,-12.83M,"1,043",6.09B,93.44, ,,4.39%,95.14%,"11075 Roselle Street San Diego, CA 92121",Medical Devices,6.22B, ,-4.22%,-4.32%,-10.14%,394.24M,,Healthcare,TNDM,160.21M,27.87M,, ,78.61
273.11k,,Tantech Holdings Ltd,,1.58M,71,42.00M,1.3443, ,,40.83%,2.90%,No. 10 Cen Shan Road Shuige Industrial Zone,Household & Personal Products,47.38M, ,-12.91%,0.34%,-9.45%,49.23M,,Consumer Defensive,TANH,12.44M,8.05M,,37.18,1.2023
334.32k,,Taoping Inc.,,-1.32M,78,23.98M,0.4379, ,,42.20%,0.55%,Everbright Bank Building 21st Floor Zhuzilin Futian District,Software—Infrastructure,18.00M, ,-25.98%,-6.34%,-22.32%,13.79M,,Technology,TAOP,1.52M,7.5M,, ,0.4877
1.3k,,"Tapinator, Inc.",,-1.73M,,1.59M,4.4647, ,,32.38%,0.00%,110 West 40th Street Suite 1902,Electronic Gaming & Multimedia,1.72M, ,-51.47%,N/A,N/A,3.86M,,Communication Services,TAPM,N/A,N/A,, ,4.2400
232.28k,,Target Hospitality Corp.,,142.77M,826,554.72M,1.8526,10.85,,2.76%,86.22%,2170 Buckthorne Place Suite 440,Oil & Gas Equipment & Services,150.54M,0.72,7.73%,8.52%,18.98%,310.77M,,Energy,TH,7.5M,411.68M,,5.07,2.8243
2.97k,,TAT Technologies Ltd.,,7.24M,599,25.05M,3.8221, ,,2.53%,68.30%,Re'em Industrial Park Neta Boulevard Bnei Ayish,Aerospace & Defense,33.14M, ,1.15%,1.58%,1.40%,104.09M,,Industrials,TATT,16.38M,8.28M,,26.64,4.1364
2.06k,,"Taylor Devices, Inc.",,4.65M,118,20.43M,10.34, ,,12.44%,19.38%,"90 Taylor Drive North Tonawanda, NY 14120",Specialty Industrial Machinery,35.63M, ,10.24%,5.28%,8.24%,29.66M,,Industrials,TAYD,15.2M,N/A,,11.77,10.52
905.91k,,TCF Financial Corporation,,N/A,"7,254", ,29.38,10.50,,1.25%,88.73%,333 West Fort Street Suite 1800,Banks—Regional,4.31B, ,15.42%,0.79%,6.92%,1.8B,,Financial Services,TCF,1.46B,6.11B,,13.90,31.56
379.83k,,"TCG BDC, Inc.",,N/A,, ,8.68, ,,0.33%,30.72%,520 Madison Avenue 41st Floor,Asset Management,489.88M, ,-43.15%,4.56%,-10.06%,216.66M,,Financial Services,CGBD,65.53M,1.26B,,7.74,9.50
132.37k,,TCR2 Therapeutics Inc.,,-55.8M,87,202.76M,15.40, ,,5.58%,84.47%,100 Binney Street Suite 710,Biotechnology,328.88M, ,0.00%,-20.23%,-31.42%,N/A,,Healthcare,TCRR,126.12M,N/A,, ,12.21
4.27M,2,TD Ameritrade Holding Corporation,0.7,N/A,"10,000", ,38.09,14.93,16.6,8.99%,89.03%,"200 South 108th Avenue Omaha, NE 68154",Capital Markets,20.59B,1.21,33.55%,4.07%,21.52%,5.79B,12.3,Financial Services,AMTD,20.89B,3.74B,30,10.66,39.89
206.35k,,"TD Holdings, Inc.",,N/A,26,189.65M,2.1121, ,,9.52%,0.16%,Number 6 Middle Xierqi Road Room 104 No. 33 Section D,Rental & Leasing Services,186.80M, ,-152.27%,-67.53%,-114.57%,3.44M,,Industrials,GLG,27.1k,4.86M,, ,1.7616
122.15k,,"TDH Holdings, Inc.",,-5.57M,50,68.09M,1.5103, ,,98.65%,1.51%,2521 Tiejueshan Road Huangdao District,Packaged Foods,63.27M, ,-68.19%,-23.62%,N/A,12.65M,,Consumer Defensive,PETZ,5.11M,9.02M,, ,1.2108
73.14k,,Tecnoglass Inc.,,78.29M,"5,528",459.86M,5.29,7.01,,57.32%,14.92%,Avenida Circunvalar a 100 mts de la Via Barrio Las Flores,Building Products & Equipment,239.35M,0.39,-0.38%,6.80%,-1.09%,411.04M,,Industrials,TGLS,38.43M,258.94M,,9.45,5.23
4.9k,,"Tectonic Financial, Inc.",,N/A,121, ,7.80, ,,0.00%,11.59%,16200 Dallas Parkway Suite 190,Banks—Regional,, ,19.50%,2.22%,19.55%,41.48M,,Financial Services,TECTP,71.4M,13.2M,, ,8.80
92.89k,,"TELA Bio, Inc.",,-19.91M,89,183.66M,15.84, ,,4.10%,75.52%,1 Great Valley Parkway Suite 24,Medical Devices,199.98M, ,-149.24%,-29.95%,-450.30%,15.87M,,Healthcare,TELA,46.7M,30.38M,, ,13.39
178.6k,,"Telenav, Inc.",,-145k,784,141.02M,5.32, ,,37.25%,54.96%,4655 Great America Parkway Suite 300,Software—Application,255.83M, ,-1.61%,-0.77%,-4.48%,280.94M,,Technology,TNAV,123.75M,8.95M,, ,5.08
6.42M,,Tellurian Inc.,,-118.87M,176,358.44M,1.1774, ,,56.14%,15.46%,1201 Louisiana Street Suite 3100,Oil & Gas E&P,283.85M, ,0.00%,-23.75%,-74.66%,32.03M,,Energy,TELL,58.17M,155.96M,, ,2.6356
980.08k,,"Tenable Holdings, Inc.",,-82.1M,"1,493",2.96B,30.05, ,,15.18%,75.50%,7021 Columbia Gateway Drive Suite 500,Software—Infrastructure,3.14B, ,-26.68%,-11.01%,-87.98%,376.93M,,Technology,TENB,226.69M,45.17M,,217.82,26.53
1.36M,,"Tenax Therapeutics, Inc.",,-9.55M,9,11.45M,1.0766, ,,0.39%,21.77%,ONE Copley Parkway Suite 490,Biotechnology,16.16M, ,0.00%,-68.62%,-137.10%,N/A,,Healthcare,TENX,4.86M,145.09k,, ,1.0001
17.07k,,Tenzing Acquisition Corp.,,N/A,,56.20M,10.77, ,,20.62%,61.88%,"250 West 55th Street New York, NY 10019",Shell Companies,55.27M, ,0.00%,-1.14%,2.47%,N/A,,Financial Services,TZAC,197.98k,1.12M,, ,10.59
2.22M,0,"Teradyne, Inc.",7.7,888.01M,"5,500",13.78B,82.96,28.57,6.4,0.47%,99.56%,"600 Riverpark Drive North Reading, MA 01864",Semiconductor Equipment & Materials,14.27B, ,22.52%,16.07%,38.84%,2.78B,6.6,Technology,TER,958.1M,465.89M,21,24.88,67.84
826.11k,,"TerraForm Power, Inc.",,619.96M,174,11.74B,19.37,166.67,,0.02%,94.26%,200 Liberty Street 14th Floor,Utilities—Independent Power Producers,4.94B, ,-20.27%,0.81%,-9.24%,962.67M,,Utilities,TERP,249.22M,7.36B,, ,17.94
24.23k,,Territorial Bancorp Inc.,,N/A,264, ,22.97,12.53,,17.58%,50.82%,1132 Bishop Street Suite 2200,Banks—Regional,206.98M, ,31.34%,0.96%,8.26%,63.64M,,Financial Services,TBNK,95.78M,179.28M,,10.28,25.45
14.71M,3,"Tesla, Inc.",2.8,3.45B,"48,016",286.16B,"1,219.85",416.67,11.0,20.51%,57.93%,"3500 Deer Creek Road Palo Alto, CA 94304",Auto Manufacturers,280.64B,3.97,1.43%,2.17%,5.19%,25.71B,17.3,Consumer Cyclical,TSLA,8.62B,14.14B,31, ,815.73
315.92k,,"Tetra Tech, Inc.",,240.85M,"20,000",5.11B,78.79,26.18,,1.30%,88.80%,"3475 East Foothill Boulevard Pasadena, CA 91107",Engineering & Construction,4.62B,1.75,5.90%,6.23%,14.89%,2.45B,,Industrials,TTEK,134.98M,644.96M,,32.74,80.32
1.88M,,"Tetraphase Pharmaceuticals, Inc.",,-59.88M,67,-6.81M,2.4732, ,,1.61%,45.31%,480 Arsenal Way Suite 110,Biotechnology,16.65M, ,0.00%,-51.46%,-138.80%,7.86M,,Healthcare,TTPH,26.15M,2.69M,, ,2.0038
948.07k,,"Texas Capital Bancshares, Inc.",,N/A,"1,738", ,30.47,19.08,,0.54%,95.37%,2000 McKinney Avenue Suite 700,Banks—Regional,1.55B, ,13.70%,0.34%,4.15%,820.14M,,Financial Services,TCBI,9.72B,3.29B,,7.27,35.48
1.49M,,"Texas Roadhouse, Inc.",,283.87M,"67,900",4.14B,52.10,285.71,,6.37%,91.13%,"6040 Dutchmans Lane Louisville, KY 40205",Restaurants,3.61B,28.52,5.15%,5.23%,15.43%,2.72B,,Consumer Cyclical,TXRH,230.61M,763.22M,,26.15,51.74
126.53k,,"TFF Pharmaceuticals, Inc.",,N/A,4,104.97M,6.05, ,,22.05%,5.48%,2600 Via Fortuna Suite 360,Biotechnology,130.70M, ,0.00%,-48.83%,-83.38%,N/A,,Healthcare,TFFP,25.73M,N/A,, ,5.10
260.9k,,"The Andersons, Inc.",,201.71M,"2,247",1.94B,13.78, ,,6.35%,78.82%,1947 Briarfield Boulevard PO Box 119,Food Distribution,454.35M, ,-0.07%,0.71%,-2.07%,8.05B,,Consumer Defensive,ANDE,19.69M,1.54B,,34.05,17.06
404.64k,,"The Bancorp, Inc.",,N/A,612, ,9.12, ,,3.90%,89.97%,409 Silverside Road Suite 105,Banks—Regional,510.52M, ,19.73%,0.93%,10.08%,234.27M,,Financial Services,TBBK,13.61M,196.65M,,10.95,8.95
10.49k,,The Bank of Princeton,,N/A,177, ,19.33,10.27,,21.72%,36.67%,"183 Bayard Lane Princeton, NJ 08540",Banks—Regional,128.65M, ,28.82%,0.90%,6.77%,46.02M,,Financial Services,BPRN,73.65M,N/A,,10.11,23.42
2.55M,,The Carlyle Group Inc.,,357.2M,"1,775",7.90B,28.90,19.12,,105.81%,17.65%,"1001 Pennsylvania Avenue, NW Washington, DC 20004-2505",Asset Management,10.12B, ,-24.22%,1.51%,1.12%,1.54B,,Financial Services,CG,1.23B,6.66B,,8.09,27.28
3.74M,,The Cheesecake Factory Incorporated,,186.04M,"46,250",2.67B,23.06,11.42,,7.06%,101.82%,26901 Malibu Hills Road Calabasas Hills,Restaurants,1.03B,2.28,-1.43%,2.54%,-7.46%,2.5B,,Consumer Cyclical,CAKE,81.02M,1.72B,,9.90,26.34
